Title,Brand,Rating,Reviews,Price (â‚¹),Image URL,Product URL
N/A,N/A,0,0,,N/A,N/A
"Happy Threads | Atlas, Handmade Crochet Soft Toys for Kids, 46 cms, sttufed Horse Animal, Child Safe & eco-Friendly Toys for Girls and Boys, Kids",N/A,4.5,2,1300,https://m.media-amazon.com/images/I/51-aK12z39L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYXRmOjMwMDU0NDg2MDA4MTMzMjo6MDo6&url=%2FHappy-Threads-Handmade-Crochet-eco-Friendly%2Fdp%2FB0CXXL9QVR%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Panda's Box Krishna & Cow (32cm) | Plush Soft Toys | Soft Plush Toys | Best Gifts for Infants, Toddlers & Babies",N/A,4.4,440,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYXRmOjMwMDU1MDIxNDk2NjMzMjo6MDo6&url=%2FPandas-Box-Krishna-Infants-Toddlers%2Fdp%2FB0F5N2W5G1%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ADDY TOYS Sitting Pig Plush Toy with Bee Hood - Soft Pig Teddy for Kids - Embroidered Details - Cute Soft Toy for Baby Girl/Newborn Gifts - Cozy Animal Cushion, 35cm Big Size - Ideal Baby Gift",N/A,3.4,13,739,https://m.media-amazon.com/images/I/51Se8g+1dML._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYXRmOjMwMDQ0NjIzMjYzOTEzMjo6MDo6&url=%2FADDY-TOYS-Sitting-Plush-Hood%2Fdp%2FB0DR71SCN3%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Storio Toy Plushie Super Soft Toys for Kids | Adorable Plush Soft Toys for Baby Boys and Girls Kids - Penguine Black & White,N/A,4.2,1633,149,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYXRmOjMwMDUzNTkyNjU0MDEzMjo6MDo6&url=%2FStorio-Plushie-Super-Adorable-Plush%2Fdp%2FB0CQG83Q12%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"DearJoy Big Size Fibre Filled Stuffed Animal Elephant Soft Toy for Kids of Plush Hugging Soft Toy for Kids boy Girl Birthday Gift (60 cm, Grey Color)",N/A,4.3,8987,533,https://m.media-amazon.com/images/I/81S00b+-XML._AC_UL640_QL65_.jpg,https://aax-eu.amazon.in/x/c/JLpANiAwRuRWo2MIS_W1MTQAAAGWkC9lnAMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAK8UVp/https://www.amazon.in/DearJoy-Baby-Elephant-Pillow-Grey/dp/B075VTNC7X/ref=sxin_23_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&cv_ct_cx=soft+toys&keywords=soft+toys&pd_rd_i=B075VTNC7X&pd_rd_r=ce129d67-8774-40cf-8f32-aacb0bde418d&pd_rd_w=SCVr7&pd_rd_wg=5itZK&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=G1NXMRKV5EFHQZ7CWP1J&qid=1746175747&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
"LOVEY DOVEY Super Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Bear (30 cm Super Soft Toys, Kangaroo with Baby)",N/A,3.7,14,399,https://m.media-amazon.com/images/I/51MceuI7nKL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfbXRmOjMwMDUyMzIyNTY5MDAzMjo6MDo6&url=%2FLOVEY-DOVEY-Lovable-hugable-Kangaroo%2Fdp%2FB09TXQL1JJ%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"VELVET APRON VelvetApron Cute Grey Penguin Soft Toy | Huggable Hoodie Plush Animal | Stuffed Gift for Kids, Girls, Boys,Babies & Adults | Super-Soft & Cuddly | (Grey)",N/A,5.0,2,469,https://m.media-amazon.com/images/I/71lym4Cb1RL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfbXRmOjMwMDUzNzc1MzA3ODIzMjo6MDo6&url=%2FVELVET-APRON-VelvetApron-Huggable-Super-Soft%2Fdp%2FB0F2HTVR5Z%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"OLSIC Breathing Soft Teddy Bear Plush Sound Machine Baby Gift with Music, Lights & Breathing Motion Infant Toys for Newborns, Heart Beat Stuffed Animal Plush Cute Teddy Bear (Multicolor)",N/A,5.0,4,899,https://m.media-amazon.com/images/I/512cGrVqB0L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfbXRmOjMwMDU0MjE4NDkyMzczMjo6MDo6&url=%2FOLSIC-Breathing-Teddy-Newborns-Multicolor%2Fdp%2FB0F4D45TLR%2Fref%3Dsr_1_23_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
CLICK4DEAL Soft Toys Long Soft Lovable Huggable Cute Giant Life Size Teddy Figure Child Safe Best for Birthday Gift Valentine Gift for Girlfriend 5 FEET RED,N/A,3.8,141,1699,https://m.media-amazon.com/images/I/61CtVEGJRML._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfbXRmOjMwMDU0NjA5NzMyODAzMjo6MDo6&url=%2FCLICK4DEAL-Huggable-Birthday-Valentine-Girlfriend%2Fdp%2FB09BLBMKZJ%2Fref%3Dsr_1_24_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
SNAP Teddy Bear Cute Little Boy Outfit (ZINGA LALA),N/A,0,0,799,https://m.media-amazon.com/images/I/81Xyx+8bzGL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYnRmOjMwMDMzNDcxMzM5OTAzMjo6MDo6&url=%2FSNAP-Teddy-Little-Outfit-ZINGA%2Fdp%2FB0D6LLG233%2Fref%3Dsr_1_57_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"NKK PNP Minions Cute Stuffed Plush Soft Toy for Kids Lovable Huggable Gifts for Kids Birthday, Babies & Children Cartoon Character Toys (Size: 38 cm, Color: Blue, Yellow)",N/A,3.4,3,416,https://m.media-amazon.com/images/I/41B3T3I5IvL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYnRmOjMwMDUzOTM2MDg3NjQzMjo6MDo6&url=%2FNKK-PNP-Huggable-Birthday-Character%2Fdp%2FB0DQHCQ61S%2Fref%3Dsr_1_58_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"abracadabra Organics Collectible Cuddle Toy (100% Organic Muslin, 18 x 10 x 4 cm, 0+ Months, Boris The Bear)",N/A,4.8,13,599,https://m.media-amazon.com/images/I/81-l9gCxUsL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYnRmOjMwMDQ2ODMwOTUxNDczMjo6MDo6&url=%2Fabracadabra-Organics-Collectible-Cuddle-Organic%2Fdp%2FB0BFFJ2JP8%2Fref%3Dsr_1_59_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"LOVEY DOVEY Teddy Bear - 4 Feet, Soft and Cuddly, Pink Color, for Girls, Wife, Girlfriend - Ideal for Birthdays, Anniversaries, and Special Occasions - Adorable Home Decor Accent(Pink, 4 feet)",N/A,3.8,918,1199,https://m.media-amazon.com/images/I/61jeogRkx-L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NjgwNDc5OTcyMDEyNzg0OjE3NDYxNzU3NDc6c3BfYnRmOjMwMDQ4NDAwNzgwNTQzMjo6MDo6&url=%2FLOVEY-DOVEY-Birthday-Girlfriend-Husband%2Fdp%2FB09M9SL8B8%2Fref%3Dsr_1_60_sspa%3Fdib%3DeyJ2IjoiMSJ9.twLjGKqCNWSXTgJI_IKvUp2k9ACpHcBZU3Sz9Ael5il4oOV5eco9xKp_TH5WdM4a04V9kqcQnSnhIVYNaTyZveSb6SdUir8VOWCH4y-dZ6_9HSbYyZLh4xraM7kLlJ_QX3iJwXOEpIGEKacjbdgMeJE4cDr9vx2TW22xb6gulBBLnqMIx_1JkEUc4MnqVx0a_Qn8uGqAX9E1Ezo6gyCh-7K1S-vxmoKy0aCM6LVTzJBKioEaPTbw1pTnPfMSroMd1GOajdSDMS2SPJCm-Bz_yHYYs8UH_tAVJ7YBv53uCpU.muw3GsyR1C9_MJigU9BvfbFHSZMbGZJ56Dp7zH-2PaI%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746175747%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
N/A,N/A,0,0,N/A,N/A,N/A
N/A,N/A,0,0,N/A,N/A,N/A
N/A,N/A,0,0,N/A,N/A,N/A
N/A,N/A,0,0,N/A,N/A,N/A
